OBJECTID,GEO.id,dec_10kl,dec_1015,dec_1519,dec_2025,dec_2530_x,dec_3035,dec_3540,dec_4050,dec_5059,dec_6069,dec_7079,dec_8089,dec_9099,dec_1124,dec_12549,dec_15074,dec_17599,dec_20049,dec_25099,dec_30099,dec_40099,dec_500749,dec_2530_y,dec_1000
191,1400000US51059430500,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,68,189,245,0,0,0,0,0,0
192,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,
194,1400000US51059431900,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,21,49,186,453,234,26,0,0,0
195,1400000US51059432300,0,0,0,0,0,0,0,0,0,0,6,0,0,0,123,117,91,311,411,113,48,102,0,15
196,,,,,,,,,,,,,,,,,,,,,,,,,
197,1400000US51059440600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,104,220,209,43,25,0,0,0,0
198,1400000US51059450200,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,150,234,184,12,4,8,0,0,0
199,1400000US51059450500,0,0,0,0,0,0,0,0,0,0,0,0,0,48,218,263,111,68,41,10,0,0,0,0
200,,,,,,,,,,,,,,,,,,,,,,,,,
201,1400000US51059451300,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,12,228,210,73,57,29,0,0
202,1400000US51059451900,0,0,0,0,0,0,0,0,0,0,11,0,0,0,20,186,215,215,116,182,9,35,0,0
203,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,
206,1400000US51059460200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,156,426,231,238,0,8
207,1400000US51059460300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,99,253,322,110,49,0,0
208,1400000US51059460600,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,45,561,317,98,36,33,12,0
209,1400000US51059461000,0,0,0,0,0,0,0,0,0,0,0,15,0,19,26,34,101,188,150,110,31,31,0,0
210,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,
212,1400000US51059470600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,13,42,98,169,81,171,0,20
213,1400000US51059471000,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,6,60,50,110,88,59,6,0,0
214,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,
218,1400000US51059481000,0,0,0,0,0,0,0,0,0,0,0,6,53,226,63,5,101,120,14,5,0,0,0,0
219,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,
231,1400000US51013100100,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,45,120,349,463,277,92,38,0,0
