OBJECTID,GEO.id,acs_lf,dec_lfp,acs_em,acs_emp_x,acs_emp_y,acs_ue,acs_uep,acs_nw,acs_nwp,acs_flf,acs_flfp
555,1400000US24033803100,719,0.0,1159,62.1,62.1,223,12.0,61,25.9,1026,1026
556,1400000US24033803200,927,0.0,1665,74.1,74.1,54,2.4,50,23.5,1145,1145
557,1400000US24033803512,2315,1.0,3774,74.2,74.2,221,4.3,423,20.4,2947,2947
558,1400000US24033803519,1117,3.4,1693,65.5,65.5,87,3.4,132,27.6,1536,1536
559,1400000US24033803525,761,2.1,1255,61.1,61.1,224,10.9,14,25.9,1091,1091
560,1400000US24033803613,1443,0.0,2676,74.9,74.9,317,8.9,34,16.2,1768,1768
561,1400000US24033804001,1274,0.0,2279,63.4,63.4,314,8.7,95,27.9,2001,2001
562,1400000US24033804400,618,0.0,1110,59.6,59.6,113,6.1,63,34.3,1017,1017
563,1400000US24033804900,1068,0.2,1477,36.7,36.7,273,6.8,95,56.3,2564,2564
564,1400000US24033805601,857,0.0,3844,74.5,74.5,771,14.9,7,10.6,1282,1282
565,1400000US24033805904,755,0.0,1599,57.9,57.9,143,5.2,108,36.9,1254,1254
566,1400000US24033806200,1177,0.0,2240,67.3,67.3,169,5.1,172,27.7,1732,1732
567,1400000US24033806602,1209,0.0,2236,65.4,65.4,353,10.3,136,24.3,1726,1726
568,1400000US24033806712,1117,0.0,1911,81.4,81.4,71,3.0,166,15.6,1275,1275
569,1400000US24033807304,405,0.0,1144,70.1,70.1,0,0.0,90,29.9,655,655
